code,youth,young,old,youth(%),young(%),old(%),allPop,ecoPop
3840011010001,82.0,334.0,64.0,0.17083333333333334,0.6958333333333333,0.13333333333333333,480.0,322
3840011010002,42.0,336.0,114.0,0.08536585365853659,0.6829268292682927,0.23170731707317074,492.0,330
3840011010003,67.0,273.0,60.0,0.1675,0.6825,0.15,400.0,268
3840011020001,67.0,304.0,69.0,0.15227272727272728,0.6909090909090909,0.15681818181818183,440.0,295
3840011020002,43.0,269.0,105.0,0.10311750599520383,0.645083932853717,0.2517985611510791,417.0,279
3840011020003,75.0,316.0,73.0,0.16163793103448276,0.6810344827586207,0.15732758620689655,464.0,311
3840011020004,18.0,197.0,208.0,0.0425531914893617,0.4657210401891253,0.491725768321513,423.0,283
3840011020005,76.0,377.0,77.0,0.14339622641509434,0.7113207547169811,0.14528301886792452,530.0,355
3840011020006,18.0,216.0,234.0,0.038461538461538464,0.46153846153846156,0.5,468.0,314
3840011020007,43.0,375.0,144.0,0.07651245551601424,0.6672597864768683,0.25622775800711745,562.0,377
3840011020008,47.0,241.0,113.0,0.1172069825436409,0.600997506234414,0.2817955112219451,401.0,269
3840011020009,26.0,194.0,256.0,0.0546218487394958,0.40756302521008403,0.5378151260504201,476.0,319
3840011020010,146.0,329.0,36.0,0.2857142857142857,0.6438356164383562,0.07045009784735812,511.0,342
3840011020011,37.0,297.0,67.0,0.09226932668329177,0.7406483790523691,0.16708229426433915,401.0,269
3840011020012,57.0,363.0,102.0,0.10919540229885058,0.6954022988505747,0.19540229885057472,522.0,350
3840011020013,24.0,257.0,129.0,0.05853658536585366,0.6268292682926829,0.3146341463414634,410.0,275
3840011020014,59.0,316.0,66.0,0.13378684807256236,0.7165532879818595,0.14965986394557823,441.0,295
3840011020015,67.0,309.0,59.0,0.15402298850574714,0.7103448275862069,0.135632183908046,435.0,291
3840011020016,67.0,290.0,69.0,0.1572769953051643,0.6807511737089202,0.1619718309859155,426.0,285
3840011020017,15.0,231.0,228.0,0.03164556962025317,0.4873417721518987,0.4810126582278481,474.0,318
3840011020018,73.0,303.0,80.0,0.1600877192982456,0.6644736842105263,0.17543859649122806,456.0,305
3840011020019,69.0,286.0,64.0,0.16467780429594273,0.6825775656324582,0.15274463007159905,419.0,281
3840011020201,50.0,251.0,38.0,0.14749262536873156,0.7404129793510325,0.11209439528023599,339.0,227
3840011020301,81.0,280.0,62.0,0.19148936170212766,0.6619385342789598,0.14657210401891252,423.0,283
3840031010001,22.0,322.0,338.0,0.03225806451612903,0.47214076246334313,0.49560117302052786,682.0,457
3840031020001,25.0,298.0,298.0,0.040257648953301126,0.47987117552334946,0.47987117552334946,621.0,416
3840032010001,9.0,197.0,241.0,0.020134228187919462,0.4407158836689038,0.5391498881431768,447.0,299
3840032010002,13.0,196.0,191.0,0.0325,0.49,0.4775,400.0,268
3840032010003,15.0,259.0,315.0,0.025466893039049237,0.4397283531409168,0.534804753820034,589.0,395
3840033010001,23.0,219.0,198.0,0.05227272727272727,0.49772727272727274,0.45,440.0,295
3840033010002,18.0,280.0,200.0,0.03614457831325301,0.5622489959839357,0.40160642570281124,498.0,334
