code,유소년층(명),청장년층(명),노년층(명),유소년층(%),청장년층(%),노년층(%),총인구,경제활동인구
3231011010001,48.0,384.0,188.0,0.07741935483870968,0.6193548387096774,0.3032258064516129,620.0,440
3231011020001,95.0,352.0,76.0,0.18164435946462715,0.6730401529636711,0.14531548757170173,523.0,371
3231011020002,32.0,265.0,108.0,0.07901234567901234,0.654320987654321,0.26666666666666666,405.0,287
3231011020101,54.0,343.0,4.0,0.13466334164588528,0.8553615960099751,0.00997506234413965,401.0,285
3231011030001,32.0,300.0,95.0,0.07494145199063232,0.702576112412178,0.2224824355971897,427.0,303
3231011030002,71.0,295.0,56.0,0.16824644549763032,0.6990521327014217,0.13270142180094788,422.0,300
3231011030003,48.0,380.0,90.0,0.09266409266409266,0.7335907335907336,0.17374517374517376,518.0,368
3231011030004,62.0,382.0,67.0,0.12133072407045009,0.7475538160469667,0.13111545988258316,511.0,363
3231011030005,49.0,444.0,79.0,0.08566433566433566,0.7762237762237763,0.1381118881118881,572.0,406
3231011030006,47.0,281.0,89.0,0.11270983213429256,0.6738609112709832,0.21342925659472423,417.0,296
3231011030007,42.0,283.0,84.0,0.10268948655256724,0.6919315403422983,0.20537897310513448,409.0,290
3231011030201,109.0,291.0,32.0,0.2523148148148148,0.6736111111111112,0.07407407407407407,432.0,307
3231011030202,72.0,290.0,44.0,0.17733990147783252,0.7142857142857143,0.10837438423645321,406.0,288
3231011030203,93.0,281.0,35.0,0.2273838630806846,0.687041564792176,0.08557457212713937,409.0,290
3231011030204,64.0,246.0,31.0,0.187683284457478,0.7214076246334311,0.09090909090909091,341.0,242
3231011030301,86.0,339.0,52.0,0.18029350104821804,0.710691823899371,0.1090146750524109,477.0,339
3231011030302,81.0,365.0,76.0,0.15517241379310345,0.6992337164750958,0.14559386973180077,522.0,371
3231011030303,87.0,326.0,51.0,0.1875,0.7025862068965517,0.10991379310344827,464.0,329
3231011030401,25.0,272.0,80.0,0.06631299734748011,0.7214854111405835,0.21220159151193635,377.0,268
3231011030501,134.0,359.0,32.0,0.25523809523809526,0.6838095238095238,0.06095238095238095,525.0,373
3231011030502,108.0,249.0,27.0,0.28125,0.6484375,0.0703125,384.0,273
3231011030601,109.0,376.0,64.0,0.19854280510018216,0.6848816029143898,0.11657559198542805,549.0,390
3231011030602,147.0,410.0,63.0,0.23709677419354838,0.6612903225806451,0.10161290322580645,620.0,440
3231011040001,23.0,228.0,121.0,0.06182795698924731,0.6129032258064516,0.32526881720430106,372.0,264
