code,youth,young,old,youth(%),young(%),old(%),allPop,ecoPop
3742011010001,28.0,222.0,63.0,0.08945686900958466,0.7092651757188498,0.2012779552715655,313.0,200
3742011010002,57.0,288.0,110.0,0.12527472527472527,0.6329670329670329,0.24175824175824176,455.0,291
3742011010003,56.0,302.0,110.0,0.11965811965811966,0.6452991452991453,0.23504273504273504,468.0,299
3742011010004,41.0,219.0,57.0,0.12933753943217666,0.6908517350157729,0.17981072555205047,317.0,202
3742011010005,81.0,434.0,61.0,0.140625,0.7534722222222222,0.10590277777777778,576.0,368
3742011010006,69.0,385.0,55.0,0.13555992141453832,0.756385068762279,0.10805500982318271,509.0,325
3742011010007,39.0,203.0,103.0,0.11304347826086956,0.5884057971014492,0.2985507246376812,345.0,220
3742011010008,13.0,176.0,192.0,0.03412073490813648,0.46194225721784776,0.5039370078740157,381.0,243
3742011010009,88.0,339.0,46.0,0.18604651162790697,0.7167019027484144,0.09725158562367865,473.0,302
3742011010010,46.0,318.0,211.0,0.08,0.5530434782608695,0.36695652173913046,575.0,368
3742011010011,87.0,367.0,108.0,0.15480427046263345,0.6530249110320284,0.19217081850533807,562.0,359
3742011010012,0.0,0.0,0.0,0,0,0,0.0,0
3742011010016,44.0,268.0,81.0,0.11195928753180662,0.6819338422391857,0.20610687022900764,393.0,251
3742011010018,93.0,272.0,69.0,0.21428571428571427,0.6267281105990783,0.15898617511520738,434.0,277
3742011010019,90.0,274.0,19.0,0.2349869451697128,0.7154046997389034,0.04960835509138381,383.0,245
3742011010020,18.0,380.0,67.0,0.03870967741935484,0.8172043010752689,0.14408602150537633,465.0,297
3742011010021,82.0,276.0,55.0,0.19854721549636803,0.6682808716707022,0.13317191283292978,413.0,264
3742011010022,71.0,229.0,53.0,0.20113314447592068,0.6487252124645893,0.1501416430594901,353.0,225
3742011010023,77.0,323.0,104.0,0.1527777777777778,0.6408730158730159,0.20634920634920634,504.0,322
3742011010024,0.0,0.0,0.0,0,0,0,0.0,0
3742011010601,171.0,315.0,20.0,0.33794466403162055,0.6225296442687747,0.039525691699604744,506.0,323
3742011010701,87.0,246.0,16.0,0.2492836676217765,0.7048710601719198,0.045845272206303724,349.0,223
3742011010702,104.0,267.0,20.0,0.2659846547314578,0.6828644501278772,0.05115089514066496,391.0,250
3742011020001,19.0,202.0,194.0,0.04578313253012048,0.4867469879518072,0.4674698795180723,415.0,265
3742011020002,46.0,310.0,98.0,0.1013215859030837,0.6828193832599119,0.21585903083700442,454.0,290
3742011020003,52.0,279.0,70.0,0.12967581047381546,0.6957605985037406,0.1745635910224439,401.0,256
3742011020004,37.0,247.0,131.0,0.0891566265060241,0.5951807228915663,0.3156626506024096,415.0,265
3742011020005,90.0,325.0,61.0,0.18907563025210083,0.6827731092436975,0.12815126050420167,476.0,304
3742011020006,89.0,271.0,48.0,0.2181372549019608,0.6642156862745098,0.11764705882352941,408.0,261
3742011020007,99.0,412.0,90.0,0.16472545757071547,0.6855241264559068,0.1497504159733777,601.0,384
3742011021001,115.0,401.0,49.0,0.20353982300884957,0.7097345132743362,0.08672566371681416,565.0,361
3742011021101,101.0,406.0,98.0,0.1669421487603306,0.6710743801652893,0.16198347107438016,605.0,387
3742012010002,16.0,176.0,192.0,0.041666666666666664,0.4583333333333333,0.5,384.0,245
3742012010003,13.0,189.0,174.0,0.034574468085106384,0.5026595744680851,0.4627659574468085,376.0,240
3742012010005,37.0,258.0,126.0,0.08788598574821853,0.6128266033254157,0.2992874109263658,421.0,269
3742012010006,19.0,281.0,309.0,0.031198686371100164,0.4614121510673235,0.5073891625615764,609.0,389
3742012010007,28.0,186.0,112.0,0.08588957055214724,0.5705521472392638,0.34355828220858897,326.0,208
3742012010012,15.0,186.0,176.0,0.03978779840848806,0.493368700265252,0.46684350132625996,377.0,241
3742012010013,22.0,302.0,88.0,0.05339805825242718,0.7330097087378641,0.21359223300970873,412.0,263
3742012010032,0.0,0.0,0.0,0,0,0,0.0,0
3742031010001,19.0,259.0,162.0,0.04318181818181818,0.5886363636363636,0.36818181818181817,440.0,281
3742031010002,16.0,175.0,166.0,0.04481792717086835,0.49019607843137253,0.4649859943977591,357.0,228
3742031010004,69.0,419.0,92.0,0.11896551724137931,0.7224137931034482,0.15862068965517243,580.0,371
3742031010005,24.0,237.0,117.0,0.06349206349206349,0.626984126984127,0.30952380952380953,378.0,241
3742031010007,41.0,477.0,235.0,0.05444887118193891,0.6334661354581673,0.31208499335989376,753.0,481
3742031010008,74.0,351.0,61.0,0.1522633744855967,0.7222222222222222,0.12551440329218108,486.0,311
3742031010009,0.0,0.0,0.0,0,0,0,0.0,0
3742031010010,19.0,261.0,180.0,0.041304347826086954,0.5673913043478261,0.391304347826087,460.0,294
3742031010013,26.0,230.0,134.0,0.06666666666666667,0.5897435897435898,0.3435897435897436,390.0,249
3742031010014,43.0,382.0,83.0,0.08464566929133858,0.7519685039370079,0.16338582677165353,508.0,325
3742031010016,69.0,351.0,56.0,0.14495798319327732,0.7373949579831933,0.11764705882352941,476.0,304
3742031010401,162.0,322.0,12.0,0.32661290322580644,0.6491935483870968,0.024193548387096774,496.0,317
3742031010402,129.0,315.0,20.0,0.27801724137931033,0.6788793103448276,0.04310344827586207,464.0,296
3742031010403,147.0,365.0,16.0,0.2784090909090909,0.6912878787878788,0.030303030303030304,528.0,337
3742033010002,12.0,174.0,171.0,0.03361344537815126,0.48739495798319327,0.4789915966386555,357.0,228
3742033010003,12.0,174.0,136.0,0.037267080745341616,0.5403726708074534,0.422360248447205,322.0,206
3742033010004,32.0,221.0,142.0,0.0810126582278481,0.5594936708860759,0.3594936708860759,395.0,252
3742033010005,65.0,300.0,108.0,0.13742071881606766,0.6342494714587738,0.22832980972515857,473.0,302
3742033010006,30.0,325.0,274.0,0.04769475357710652,0.5166931637519873,0.4356120826709062,629.0,402
3742033010009,19.0,192.0,103.0,0.06050955414012739,0.6114649681528662,0.32802547770700635,314.0,200
3742033010013,0.0,0.0,0.0,0,0,0,0.0,0
3742035010001,14.0,256.0,105.0,0.037333333333333336,0.6826666666666666,0.28,375.0,240
3742035010004,19.0,229.0,241.0,0.03885480572597137,0.46830265848670755,0.49284253578732107,489.0,312
3742035010005,21.0,209.0,282.0,0.041015625,0.408203125,0.55078125,512.0,327
3742035010006,26.0,232.0,194.0,0.05752212389380531,0.5132743362831859,0.42920353982300885,452.0,289
3742035010007,9.0,172.0,168.0,0.025787965616045846,0.49283667621776506,0.4813753581661891,349.0,223
3742035010020,24.0,170.0,117.0,0.07717041800643087,0.5466237942122186,0.3762057877813505,311.0,199
3742035010023,0.0,0.0,0.0,0,0,0,0.0,0
3742035010033,0.0,0.0,0.0,0,0,0,0.0,0
3742035010079,0.0,0.0,0.0,0,0,0,0.0,0
3742036010001,22.0,212.0,262.0,0.04435483870967742,0.4274193548387097,0.5282258064516129,496.0,317
3742036010002,31.0,360.0,210.0,0.051580698835274545,0.5990016638935108,0.34941763727121466,601.0,384
3742036010003,21.0,242.0,335.0,0.03511705685618729,0.40468227424749165,0.560200668896321,598.0,382
3742037010001,45.0,217.0,63.0,0.13846153846153847,0.6676923076923077,0.19384615384615383,325.0,208
3742037010006,169.0,645.0,73.0,0.19052987598647125,0.7271702367531003,0.08229988726042842,887.0,567
3742037010007,29.0,236.0,92.0,0.08123249299719888,0.6610644257703081,0.25770308123249297,357.0,228
3742037010010,31.0,234.0,131.0,0.07828282828282829,0.5909090909090909,0.33080808080808083,396.0,253
3742037010014,60.0,467.0,151.0,0.08849557522123894,0.6887905604719764,0.22271386430678466,678.0,433
3742037010019,29.0,298.0,106.0,0.06697459584295612,0.6882217090069284,0.24480369515011546,433.0,277
3742037010022,81.0,564.0,234.0,0.09215017064846416,0.6416382252559727,0.26621160409556316,879.0,562
3742037010026,26.0,189.0,121.0,0.07738095238095238,0.5625,0.3601190476190476,336.0,215
3742037010028,33.0,257.0,85.0,0.088,0.6853333333333333,0.22666666666666666,375.0,240
3742037010036,28.0,388.0,205.0,0.04508856682769726,0.6247987117552335,0.33011272141706927,621.0,397
3742037010037,33.0,269.0,81.0,0.08616187989556136,0.7023498694516971,0.21148825065274152,383.0,245
3742037010040,13.0,205.0,153.0,0.03504043126684636,0.5525606469002695,0.4123989218328841,371.0,237
3742037010043,0.0,0.0,0.0,0,0,0,0.0,0
3742037010049,0.0,0.0,0.0,0,0,0,0.0,0
3742037011601,110.0,239.0,16.0,0.3013698630136986,0.6547945205479452,0.043835616438356165,365.0,233
3742038010001,73.0,313.0,92.0,0.15271966527196654,0.6548117154811716,0.19246861924686193,478.0,305
3742038010002,22.0,315.0,189.0,0.04182509505703422,0.5988593155893536,0.3593155893536122,526.0,336
3742038010003,24.0,286.0,216.0,0.045627376425855515,0.5437262357414449,0.41064638783269963,526.0,336
3742038010004,36.0,270.0,112.0,0.0861244019138756,0.645933014354067,0.2679425837320574,418.0,267
3742038010005,73.0,313.0,110.0,0.14717741935483872,0.6310483870967742,0.2217741935483871,496.0,317
3742038010006,23.0,165.0,115.0,0.07590759075907591,0.5445544554455446,0.3795379537953795,303.0,193
3742038010008,21.0,237.0,168.0,0.04929577464788732,0.5563380281690141,0.39436619718309857,426.0,272
3742038010009,89.0,509.0,116.0,0.12464985994397759,0.7128851540616247,0.16246498599439776,714.0,456
3742038010010,55.0,272.0,92.0,0.13126491646778043,0.649164677804296,0.21957040572792363,419.0,268
3742038010013,21.0,201.0,137.0,0.0584958217270195,0.5598885793871866,0.3816155988857939,359.0,229
3742038010014,25.0,236.0,174.0,0.05747126436781609,0.542528735632184,0.4,435.0,278
3742038010015,28.0,241.0,76.0,0.08115942028985507,0.6985507246376812,0.22028985507246376,345.0,220
3742038010017,35.0,316.0,150.0,0.06986027944111776,0.6307385229540918,0.2994011976047904,501.0,320
3742038010019,98.0,330.0,35.0,0.21166306695464362,0.712742980561555,0.0755939524838013,463.0,296
3742038010021,57.0,209.0,70.0,0.16964285714285715,0.6220238095238095,0.20833333333333334,336.0,215
3742038010022,19.0,231.0,153.0,0.04714640198511166,0.5732009925558312,0.37965260545905705,403.0,257
3742038010024,0.0,0.0,0.0,0,0,0,0.0,0
3742038010029,0.0,0.0,0.0,0,0,0,0.0,0
3742039010001,24.0,301.0,248.0,0.041884816753926704,0.525305410122164,0.4328097731239092,573.0,366
3742039010002,18.0,315.0,228.0,0.03208556149732621,0.5614973262032086,0.40641711229946526,561.0,359
3742040010001,17.0,156.0,159.0,0.05120481927710843,0.46987951807228917,0.4789156626506024,332.0,212
3742040010002,14.0,167.0,217.0,0.035175879396984924,0.41959798994974873,0.5452261306532663,398.0,254
3742040010003,27.0,234.0,314.0,0.04695652173913043,0.40695652173913044,0.5460869565217391,575.0,368
3742040010004,21.0,191.0,135.0,0.06051873198847262,0.5504322766570605,0.38904899135446686,347.0,222
3742040010005,17.0,151.0,140.0,0.05519480519480519,0.4902597402597403,0.45454545454545453,308.0,197
3742040010007,0.0,0.0,0.0,0,0,0,0.0,0
3742040010011,0.0,0.0,0.0,0,0,0,0.0,0
