code,youth,young,old,youth(%),young(%),old(%),allPop,9
3704011010001,16.0,188.0,186.0,0.041025641025641026,0.48205128205128206,0.47692307692307695,390.0,
3704011020001,30.0,244.0,306.0,0.05172413793103448,0.4206896551724138,0.5275862068965518,580.0,
3704011020002,21.0,330.0,175.0,0.039923954372623575,0.6273764258555133,0.33269961977186313,526.0,
3704011030001,20.0,164.0,240.0,0.04716981132075472,0.3867924528301887,0.5660377358490566,424.0,
3704011040001,13.0,182.0,192.0,0.03359173126614987,0.4702842377260982,0.49612403100775193,387.0,
3704011050001,13.0,155.0,272.0,0.029545454545454545,0.3522727272727273,0.6181818181818182,440.0,
3704011060001,25.0,195.0,217.0,0.057208237986270026,0.4462242562929062,0.4965675057208238,437.0,
3704011060002,16.0,222.0,205.0,0.03611738148984198,0.5011286681715575,0.46275395033860045,443.0,
3704011060003,23.0,227.0,155.0,0.056790123456790124,0.5604938271604938,0.38271604938271603,405.0,
3704011070001,42.0,246.0,115.0,0.10421836228287841,0.6104218362282878,0.2853598014888337,403.0,
3704011070002,38.0,352.0,125.0,0.07378640776699029,0.683495145631068,0.24271844660194175,515.0,
3704011070003,21.0,246.0,137.0,0.05198019801980198,0.6089108910891089,0.33910891089108913,404.0,
3704011070004,8.0,385.0,61.0,0.01762114537444934,0.8480176211453745,0.1343612334801762,454.0,
3704011080001,34.0,331.0,245.0,0.05573770491803279,0.5426229508196722,0.4016393442622951,610.0,
3704031010001,19.0,159.0,228.0,0.046798029556650245,0.3916256157635468,0.5615763546798029,406.0,
3704031010002,21.0,264.0,276.0,0.0374331550802139,0.47058823529411764,0.4919786096256685,561.0,
3704031010003,27.0,192.0,200.0,0.06443914081145585,0.45823389021479716,0.477326968973747,419.0,
3704031010004,16.0,241.0,241.0,0.0321285140562249,0.4839357429718876,0.4839357429718876,498.0,
3704031010005,25.0,278.0,195.0,0.050200803212851405,0.5582329317269076,0.39156626506024095,498.0,
3704031010006,27.0,228.0,144.0,0.06766917293233082,0.5714285714285714,0.3609022556390977,399.0,
3704031010007,23.0,233.0,207.0,0.04967602591792657,0.5032397408207343,0.4470842332613391,463.0,
3704031010008,15.0,249.0,213.0,0.031446540880503145,0.5220125786163522,0.44654088050314467,477.0,
3704032010001,47.0,321.0,248.0,0.0762987012987013,0.5211038961038961,0.4025974025974026,616.0,
3704032020001,18.0,228.0,253.0,0.036072144288577156,0.45691382765531063,0.5070140280561122,499.0,
3704032030001,20.0,358.0,170.0,0.0364963503649635,0.6532846715328468,0.3102189781021898,548.0,
3704032030002,27.0,213.0,222.0,0.05844155844155844,0.461038961038961,0.4805194805194805,462.0,
3704032030003,14.0,208.0,193.0,0.033734939759036145,0.5012048192771085,0.4650602409638554,415.0,
3704032030004,13.0,194.0,201.0,0.031862745098039214,0.47549019607843135,0.49264705882352944,408.0,
3704033010001,12.0,272.0,200.0,0.024793388429752067,0.5619834710743802,0.4132231404958678,484.0,
3704033020001,22.0,252.0,211.0,0.04536082474226804,0.5195876288659794,0.4350515463917526,485.0,
3704033020002,19.0,191.0,143.0,0.053824362606232294,0.5410764872521246,0.40509915014164305,353.0,
3704033020003,13.0,196.0,169.0,0.03439153439153439,0.5185185185185185,0.4470899470899471,378.0,
3704033020004,0.0,1262.0,0.0,0.0,1.0,0.0,1262.0,
3704033020005,24.0,260.0,140.0,0.05660377358490566,0.6132075471698113,0.330188679245283,424.0,
3704033020006,22.0,209.0,198.0,0.05128205128205128,0.48717948717948717,0.46153846153846156,429.0,
3704033020007,15.0,155.0,148.0,0.04716981132075472,0.48742138364779874,0.46540880503144655,318.0,
3704033020008,21.0,266.0,57.0,0.061046511627906974,0.7732558139534884,0.16569767441860464,344.0,
3704034010001,72.0,356.0,38.0,0.15450643776824036,0.7639484978540773,0.0815450643776824,466.0,
3704034010002,21.0,460.0,21.0,0.04183266932270916,0.9163346613545816,0.04183266932270916,502.0,
3704034010101,89.0,417.0,20.0,0.16920152091254753,0.7927756653992395,0.03802281368821293,526.0,
